source,target,value
Nelson,Gowanbrae,1260000
Jason,Greenvale,1515000
Barry,Greenvale,690000
LJ,Greenvale,679000
Nelson,Hadfield,772500
Buxton,Hampton East,1330000
Hodges,Highett,1430000
Barry,Hillside,666000
Prof.,Hillside,700000
LJ,Hoppers Crossing,505000
YPA,Jacana,455000
Barry,Keilor Downs,670000
Moonee,Keilor East,975000
Jellis,Kew East,2300000
McGrath,Kilsyth,830000
Raine,Kurunjang,439000
Iconek,Lalor,700000
Bowman,Langwarrin,510000
Jas,Maidstone,825000
Sweeney,Maribyrnong,1250000
Hodges,McKinnon,1820000
FN,Melton West,518000
Ray,Mernda,572500
Barry,Mulgrave,825000
Jellis,Murrumbeena,1590000
Nelson,Niddrie,1050000
Jellis,Northcote,1585000
McGrath,Northcote,1315000
Nelson,Pascoe Vale,826000
Nelson,Pascoe Vale,1015000
Point,Point Cook,650000
hockingstuart,Point Cook,690000
Nelson,Preston,1455000
Ray,Reservoir,600000
Nelson,Reservoir,900000
hockingstuart,Reservoir,810000
Barry,Reservoir,920000
McGrath,Reservoir,775000
Biggin,Richmond,1700000
Carter,Ringwood,1246000
Cayzer,Ripponlea,1380000
Ray,Rowville,956000
YPA,Roxburgh Park,630000
RW,South Morang,500000
Millership,South Morang,697000
Sweeney,Spotswood,1060000
McGrath/Langwell,St Kilda,1310000
Brad,Sunbury,450000
Barry,Sunbury,516500
Raine,Sunbury,580000
Brad,Sunbury,590000
Bells,Sunshine West,560000
Barry,Taylors Hill,830000
YPA,Taylors Hill,660000
Barry,Taylors Lakes,720000
McGrath,Templestowe Lower,1330000
Ray,Thomastown,860000
Miles,Viewbank,1140000
Jellis,Wantirna,975000
Barry,Wantirna,1188888
Ray,Wantirna South,1075000
Barry,Watsonia North,700000
Mason,Wattle Glen,835000
Barry,Werribee,420000
Burns,Werribee,552000
Barry,Werribee,501000
hockingstuart,Williams Landing,785000
Williams,Williamstown,1115000
HAR,Wollert,640000
Barry,Wyndham Vale,400000
Jellis,Brunswick,1652000
Walshe,Brunswick,735000
